periodo,serie,valor
201207,Empalme_IPCBA_nivel_general,6.44
201208,Empalme_IPCBA_nivel_general,6.59
201209,Empalme_IPCBA_nivel_general,6.68
201210,Empalme_IPCBA_nivel_general,6.78
201211,Empalme_IPCBA_nivel_general,6.92
201212,Empalme_IPCBA_nivel_general,7.06
201301,Empalme_IPCBA_nivel_general,7.22
201302,Empalme_IPCBA_nivel_general,7.3
201303,Empalme_IPCBA_nivel_general,7.41
201304,Empalme_IPCBA_nivel_general,7.56
201305,Empalme_IPCBA_nivel_general,7.68
201306,Empalme_IPCBA_nivel_general,7.82
201307,Empalme_IPCBA_nivel_general,8.01
201308,Empalme_IPCBA_nivel_general,8.18
201309,Empalme_IPCBA_nivel_general,8.35
201310,Empalme_IPCBA_nivel_general,8.54
201311,Empalme_IPCBA_nivel_general,8.74
201312,Empalme_IPCBA_nivel_general,8.94
201401,Empalme_IPCBA_nivel_general,9.37
201402,Empalme_IPCBA_nivel_general,9.78
201403,Empalme_IPCBA_nivel_general,10.13
201404,Empalme_IPCBA_nivel_general,10.45
201405,Empalme_IPCBA_nivel_general,10.71
201406,Empalme_IPCBA_nivel_general,10.96
201407,Empalme_IPCBA_nivel_general,11.2
201408,Empalme_IPCBA_nivel_general,11.46
201409,Empalme_IPCBA_nivel_general,11.72
201410,Empalme_IPCBA_nivel_general,11.94
201411,Empalme_IPCBA_nivel_general,12.16
201412,Empalme_IPCBA_nivel_general,12.34
201501,Empalme_IPCBA_nivel_general,12.58
201502,Empalme_IPCBA_nivel_general,12.76
201503,Empalme_IPCBA_nivel_general,12.97
201504,Empalme_IPCBA_nivel_general,13.28
201505,Empalme_IPCBA_nivel_general,13.57
201506,Empalme_IPCBA_nivel_general,13.76
201507,Empalme_IPCBA_nivel_general,14.04
201508,Empalme_IPCBA_nivel_general,14.3
201509,Empalme_IPCBA_nivel_general,14.53
201510,Empalme_IPCBA_nivel_general,14.78
201511,Empalme_IPCBA_nivel_general,15.07
201512,Empalme_IPCBA_nivel_general,15.66
201601,Empalme_IPCBA_nivel_general,16.31
201602,Empalme_IPCBA_nivel_general,16.95
201603,Empalme_IPCBA_nivel_general,17.52
201604,Empalme_IPCBA_nivel_general,18.66
201605,Empalme_IPCBA_nivel_general,19.6
201606,Empalme_IPCBA_nivel_general,20.23
201607,Empalme_IPCBA_nivel_general,20.67
201608,Empalme_IPCBA_nivel_general,20.51
201609,Empalme_IPCBA_nivel_general,20.79
201610,Empalme_IPCBA_nivel_general,21.39
201611,Empalme_IPCBA_nivel_general,21.82
201612,Empalme_IPCBA_nivel_general,22.09
201701,Empalme_IPCBA_nivel_general,22.5
201702,Empalme_IPCBA_nivel_general,22.99
201703,Empalme_IPCBA_nivel_general,23.65
201704,Empalme_IPCBA_nivel_general,24.15
201705,Empalme_IPCBA_nivel_general,24.59
201706,Empalme_IPCBA_nivel_general,24.97
201707,Empalme_IPCBA_nivel_general,25.41
201708,Empalme_IPCBA_nivel_general,25.82
201709,Empalme_IPCBA_nivel_general,26.23
