periodo,serie,valor
202202,IPCBA_Alimentos_y_bebidas,132.39
202203,IPCBA_Alimentos_y_bebidas,139.95
202204,IPCBA_Alimentos_y_bebidas,148.57
202205,IPCBA_Alimentos_y_bebidas,155.91
202206,IPCBA_Alimentos_y_bebidas,164.46
202207,IPCBA_Alimentos_y_bebidas,177.07
202208,IPCBA_Alimentos_y_bebidas,189.56
202209,IPCBA_Alimentos_y_bebidas,202.96
202210,IPCBA_Alimentos_y_bebidas,217.09
202211,IPCBA_Alimentos_y_bebidas,226.29
202212,IPCBA_Alimentos_y_bebidas,236.84
202301,IPCBA_Alimentos_y_bebidas,251.38
202302,IPCBA_Alimentos_y_bebidas,270.64
202303,IPCBA_Alimentos_y_bebidas,295.31
202304,IPCBA_Alimentos_y_bebidas,326.09
202305,IPCBA_Alimentos_y_bebidas,347.65
202306,IPCBA_Alimentos_y_bebidas,367.66
202307,IPCBA_Alimentos_y_bebidas,388.18
202308,IPCBA_Alimentos_y_bebidas,436.53
202309,IPCBA_Alimentos_y_bebidas,498.14
202310,IPCBA_Alimentos_y_bebidas,542.75
202311,IPCBA_Alimentos_y_bebidas,619.9
202312,IPCBA_Alimentos_y_bebidas,808.44
202401,IPCBA_Alimentos_y_bebidas,1013.41
202402,IPCBA_Alimentos_y_bebidas,1161.94
202403,IPCBA_Alimentos_y_bebidas,1290.14
202404,IPCBA_Alimentos_y_bebidas,1356.48
202405,IPCBA_Alimentos_y_bebidas,1421.06
202406,IPCBA_Alimentos_y_bebidas,1459.9
202407,IPCBA_Alimentos_y_bebidas,1514.8
202408,IPCBA_Alimentos_y_bebidas,1562.1
