periodo,serie,valor
202202,IPCBA_Nivel_general,128.59
202203,IPCBA_Nivel_general,136.12
202204,IPCBA_Nivel_general,143.28
202205,IPCBA_Nivel_general,151.18
202206,IPCBA_Nivel_general,158.92
202207,IPCBA_Nivel_general,171.1
202208,IPCBA_Nivel_general,181.72
202209,IPCBA_Nivel_general,191.95
202210,IPCBA_Nivel_general,205.31
202211,IPCBA_Nivel_general,217.2
202212,IPCBA_Nivel_general,229.69
202301,IPCBA_Nivel_general,246.41
202302,IPCBA_Nivel_general,261.19
202303,IPCBA_Nivel_general,279.75
202304,IPCBA_Nivel_general,301.46
202305,IPCBA_Nivel_general,324.2
202306,IPCBA_Nivel_general,347.38
202307,IPCBA_Nivel_general,372.82
202308,IPCBA_Nivel_general,413.08
202309,IPCBA_Nivel_general,462.47
202310,IPCBA_Nivel_general,505.82
202311,IPCBA_Nivel_general,565.99
202312,IPCBA_Nivel_general,685.4
202401,IPCBA_Nivel_general,834.2
202402,IPCBA_Nivel_general,951.99
202403,IPCBA_Nivel_general,1077.95
202404,IPCBA_Nivel_general,1183.17
202405,IPCBA_Nivel_general,1234.95
202406,IPCBA_Nivel_general,1294.53
202407,IPCBA_Nivel_general,1360.55
202408,IPCBA_Nivel_general,1417.46
