periodo,serie,valor
201302,Var_mensual_ventas_en_supermercados,0.2
201303,Var_mensual_ventas_en_supermercados,21.6
201304,Var_mensual_ventas_en_supermercados,-4.6
201305,Var_mensual_ventas_en_supermercados,2.5
201306,Var_mensual_ventas_en_supermercados,1.6
201307,Var_mensual_ventas_en_supermercados,-1.3
201308,Var_mensual_ventas_en_supermercados,1.2
201309,Var_mensual_ventas_en_supermercados,-4.7
201310,Var_mensual_ventas_en_supermercados,2.5
201311,Var_mensual_ventas_en_supermercados,1
201312,Var_mensual_ventas_en_supermercados,11.5
201401,Var_mensual_ventas_en_supermercados,-22.9
201402,Var_mensual_ventas_en_supermercados,-2.7
201403,Var_mensual_ventas_en_supermercados,17.2
201404,Var_mensual_ventas_en_supermercados,1.1
201405,Var_mensual_ventas_en_supermercados,-0.3
201406,Var_mensual_ventas_en_supermercados,-1
201407,Var_mensual_ventas_en_supermercados,1.4
201408,Var_mensual_ventas_en_supermercados,3.7
201409,Var_mensual_ventas_en_supermercados,-5.5
201410,Var_mensual_ventas_en_supermercados,5.7
201411,Var_mensual_ventas_en_supermercados,-4.8
201412,Var_mensual_ventas_en_supermercados,15.7
201501,Var_mensual_ventas_en_supermercados,-22.7
201502,Var_mensual_ventas_en_supermercados,-0.8
201503,Var_mensual_ventas_en_supermercados,24.6
201504,Var_mensual_ventas_en_supermercados,-7.6
201505,Var_mensual_ventas_en_supermercados,1.2
201506,Var_mensual_ventas_en_supermercados,-7.4
201507,Var_mensual_ventas_en_supermercados,6.9
201508,Var_mensual_ventas_en_supermercados,3
201509,Var_mensual_ventas_en_supermercados,-6.8
201510,Var_mensual_ventas_en_supermercados,6.7
201511,Var_mensual_ventas_en_supermercados,-1.3
201512,Var_mensual_ventas_en_supermercados,8.1
201601,Var_mensual_ventas_en_supermercados,-22.3
201602,Var_mensual_ventas_en_supermercados,0.2
201603,Var_mensual_ventas_en_supermercados,13
201604,Var_mensual_ventas_en_supermercados,0.8
201605,Var_mensual_ventas_en_supermercados,-4.1
201606,Var_mensual_ventas_en_supermercados,-0.3
201607,Var_mensual_ventas_en_supermercados,3
201608,Var_mensual_ventas_en_supermercados,-1.2
201609,Var_mensual_ventas_en_supermercados,-2.9
201610,Var_mensual_ventas_en_supermercados,3.2
201611,Var_mensual_ventas_en_supermercados,-1.1
201612,Var_mensual_ventas_en_supermercados,12.1
201701,Var_mensual_ventas_en_supermercados,-23.2
201702,Var_mensual_ventas_en_supermercados,-0.7
201703,Var_mensual_ventas_en_supermercados,15.4
201704,Var_mensual_ventas_en_supermercados,3.6
201705,Var_mensual_ventas_en_supermercados,-5.8
201706,Var_mensual_ventas_en_supermercados,0.6
201707,Var_mensual_ventas_en_supermercados,2.9
201708,Var_mensual_ventas_en_supermercados,-1
201709,Var_mensual_ventas_en_supermercados,-0.8
201710,Var_mensual_ventas_en_supermercados,0.7
201711,Var_mensual_ventas_en_supermercados,-1.6
201712,Var_mensual_ventas_en_supermercados,13
201801,Var_mensual_ventas_en_supermercados,-24
201802,Var_mensual_ventas_en_supermercados,1.1
201803,Var_mensual_ventas_en_supermercados,23.7
201804,Var_mensual_ventas_en_supermercados,-7.1
201805,Var_mensual_ventas_en_supermercados,-0.4
201806,Var_mensual_ventas_en_supermercados,2.9
201807,Var_mensual_ventas_en_supermercados,-1.2
201808,Var_mensual_ventas_en_supermercados,-0.9
201809,Var_mensual_ventas_en_supermercados,-1.3
201810,Var_mensual_ventas_en_supermercados,1.5
201811,Var_mensual_ventas_en_supermercados,-1
201812,Var_mensual_ventas_en_supermercados,9.6
201901,Var_mensual_ventas_en_supermercados,-23.3
201902,Var_mensual_ventas_en_supermercados,0.7
201903,Var_mensual_ventas_en_supermercados,18.1
201904,Var_mensual_ventas_en_supermercados,0.9
201905,Var_mensual_ventas_en_supermercados,-4.6
201906,Var_mensual_ventas_en_supermercados,2.4
201907,Var_mensual_ventas_en_supermercados,-3.5
201908,Var_mensual_ventas_en_supermercados,5.3
201909,Var_mensual_ventas_en_supermercados,-6
201910,Var_mensual_ventas_en_supermercados,6.9
201911,Var_mensual_ventas_en_supermercados,-3.3
201912,Var_mensual_ventas_en_supermercados,10.5
202001,Var_mensual_ventas_en_supermercados,-22.1
202002,Var_mensual_ventas_en_supermercados,17.1
202003,Var_mensual_ventas_en_supermercados,23.5
202004,Var_mensual_ventas_en_supermercados,-10.8
202005,Var_mensual_ventas_en_supermercados,-2.9
202006,Var_mensual_ventas_en_supermercados,-5.6
202007,Var_mensual_ventas_en_supermercados,1.1
202008,Var_mensual_ventas_en_supermercados,-2.1
202009,Var_mensual_ventas_en_supermercados,-5.9
202010,Var_mensual_ventas_en_supermercados,6.1
202011,Var_mensual_ventas_en_supermercados,-5.5
202012,Var_mensual_ventas_en_supermercados,17.1
202101,Var_mensual_ventas_en_supermercados,-19.3
202102,Var_mensual_ventas_en_supermercados,-3.4
202103,Var_mensual_ventas_en_supermercados,17.4
202104,Var_mensual_ventas_en_supermercados,-1.8
202105,Var_mensual_ventas_en_supermercados,1.1
202106,Var_mensual_ventas_en_supermercados,-1.8
202107,Var_mensual_ventas_en_supermercados,2
202108,Var_mensual_ventas_en_supermercados,0.1
202109,Var_mensual_ventas_en_supermercados,-3
202110,Var_mensual_ventas_en_supermercados,4.7
202111,Var_mensual_ventas_en_supermercados,-3.3
202112,Var_mensual_ventas_en_supermercados,17.6
202201,Var_mensual_ventas_en_supermercados,-25.3
202202,Var_mensual_ventas_en_supermercados,0.3
202203,Var_mensual_ventas_en_supermercados,14.5
202204,Var_mensual_ventas_en_supermercados,1.7
202205,Var_mensual_ventas_en_supermercados,-2.7
202206,Var_mensual_ventas_en_supermercados,0.8
202207,Var_mensual_ventas_en_supermercados,3.5
202208,Var_mensual_ventas_en_supermercados,-3.3
202209,Var_mensual_ventas_en_supermercados,-2.5
202210,Var_mensual_ventas_en_supermercados,3.1
202211,Var_mensual_ventas_en_supermercados,-1.4
202212,Var_mensual_ventas_en_supermercados,14
202301,Var_mensual_ventas_en_supermercados,-22
202302,Var_mensual_ventas_en_supermercados,0.6
202303,Var_mensual_ventas_en_supermercados,15.9
202304,Var_mensual_ventas_en_supermercados,-3
202305,Var_mensual_ventas_en_supermercados,-4.4
202306,Var_mensual_ventas_en_supermercados,1.9
202307,Var_mensual_ventas_en_supermercados,3.6
